judge,pre_question,pre_rhetorical_question,pre_gif,pre_thoughts,pre_assess,pre_doubt,pre_negation,pre_pauses,pre_causation,pre_falsity,pre_conflict,aft_question,aft_rhetorical_question,aft_gif,aft_thoughts,aft_assess,aft_doubt,aft_negation,aft_pauses,aft_causation,aft_falsity,aft_conflict,class
Exist,what,Exist,Null,Exist,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,p
Exist,Null,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,Null,More,Null,Null,Null,Exist,Null,More,Null,Null,Null,Exist,p
Exist,What,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,More,Null,Exist,Exist,Null,Null,Exist,Null,Null,Exist,Null,p
Exist,where,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,More,Null,Exist,Null,Null,p
Exist,Null,Null,Null,Exist,Null,Null,Exist,Null,Exist,Null,Null,More,Null,Null,Exist,Null,Exist,Exist,Null,Null,Null,Null,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,What,Exist,Null,Null,Exist,Exist,Null,Exist,Null,Exist,Null,p
Exist,Why,Exist,Exist,Null,Null,More,More,Null,Null,Exist,Null,why,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Exist,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,More,More,Exist,Null,Exist,Null,p
Exist,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,Null,why,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,Null,p
Exist,Null,Exist,Exist,Exist,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,p
Exist,What,Null,Exist,Exist,Exist,Null,Exist,Null,Null,Null,Null,More,Null,Null,Null,Null,Null,More,Null,Null,Null,Null,p
Exist,when,Exist,Null,Exist,Null,Exist,Exist,Null,Exist,Null,Null,When,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,More,Exist,Null,Null,Null,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,p
